Name,Genus,Species,Order,Family,From Pantheria?,ActivityPeriod,APSource,Seasonality,SeasonSource,BodySizeG,BSSource,Locomotion,LocoSource,FeedingHabit,FHSource,FeedingTechnique,FTSource,Notes
Hydrochoerus_hydrochaeris,Hydrochoerus,hydrochaeris,Rodentia,Caviidae,1,Diurnal,https://animaldiversity.org/,Resident,https://animaldiversity.org/,50500,https://animaldiversity.org/,Semi-aquatic,https://animaldiversity.org/,Herbivore,https://animaldiversity.org/,Ground browser,https://animaldiversity.org/,
Leopardus_pardalis,Leopardus,pardalis,Carnivora,Felidae,1,Nocturnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",12250,"(Mayani-Paras, et al. 2023)",Terrestrial,"(Mayani-Paras, et al. 2023)",Carnivore,"(Mayani-Paras, et al. 2023)",Ground hunter,"(Mayani-Paras, et al. 2023)",
Leopardus_wiedii,Leopardus,wiedii,Carnivora,Felidae,1,Nocturnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",4000,"(Mayani-Paras, et al. 2023)",Semi-arboreal,"(Mayani-Paras, et al. 2023)",Carnivore,"(Mayani-Paras, et al. 2023)",Ground hunter,"(Mayani-Paras, et al. 2023)",
Leucopternis_melanops,Leucopternis,melanops,Accipitriformes,Accipitridae,0,Diurnal,https://www.jstor.org/stable/2560307,Resident,https://birdsoftheworld.org/,338.5,https://birdsoftheworld.org/,Volant,https://birdsoftheworld.org/,Carnivore,https://birdsoftheworld.org/,Air hunter under canopy,https://birdsoftheworld.org/,
Mazama_americana,Mazama,americana,Artiodactyla,Cervidae,1,Cathemeral,https://animaldiversity.org/,Resident,https://animaldiversity.org/,37500,https://animaldiversity.org/,Terrestrial,https://animaldiversity.org/,Herbivore,https://animaldiversity.org/,Ground browser,https://animaldiversity.org/,
Mazama_gouazoubira,Mazama,gouazoubira,Artiodactyla,Cervidae,1,Cathemeral,https://animaldiversity.org/,Resident,https://animaldiversity.org/,15600,https://animaldiversity.org/,Terrestrial,https://animaldiversity.org/,Herbivore,https://animaldiversity.org/,Ground browser,https://animaldiversity.org/,
Mazama_nemorivaga,Mazama,nemorivaga,Artiodactyla,Cervidae,1,Cathemeral,https://www.gbif.org/species/195657912,Resident,https://www.gbif.org/species/195657912,15000,https://www.gbif.org/species/195657912,Terrestrial,https://www.gbif.org/species/195657912,Herbivore,https://www.gbif.org/species/195657912,Ground browser,https://www.gbif.org/species/195657912,
Mazama_rufina,Mazama,rufina,Artiodactyla,Cervidae,1,Cathemeral,https://doi.org/10.1093/mspecies/seac001,Resident,https://doi.org/10.1093/mspecies/seac001,15000,https://doi.org/10.1093/mspecies/seac001,Terrestrial,https://doi.org/10.1093/mspecies/seac001,Herbivore,https://doi.org/10.1093/mspecies/seac001,Ground browser,https://doi.org/10.1093/mspecies/seac001,
Mazama_sp.,Mazama,,Artiodactyla,Cervidae,0,Cathemeral,Averaged from other Mazama species,Resident,Averaged from other Mazama species,20775,Averaged from other Mazama species,Terrestrial,Averaged from other Mazama species,Herbivore,Averaged from other Mazama species,Ground browser,Averaged from other Mazama species,
Metachirus_nudicaudatus,Metachirus,nudicaudatus,Didelphimorphia,Didelphidae,1,Nocturnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",460,"(Mayani-Paras, et al. 2023)",Semi-arboreal,"(Mayani-Paras, et al. 2023)",Omnivore,"(Mayani-Paras, et al. 2023)",Ground browser,"(Mayani-Paras, et al. 2023)",
Mitu_salvini,Mitu,salvini,Galliformes,Cracidae,0,Diurnal,https://birdsoftheworld.org/,Resident,https://birdsoftheworld.org/,3100,https://birdsoftheworld.org/,Terrestrial,https://birdsoftheworld.org/,Herbivore,https://birdsoftheworld.org/,Ground browser,https://birdsoftheworld.org/,
Myoprocta_pratti,Myoprocta,pratti,Rodentia,Dasyproctidae,1,Diurnal,https://animaldiversity.org/,Resident,https://animaldiversity.org/,1000,https://animaldiversity.org/,Terrestrial,https://animaldiversity.org/,Herbivore,https://animaldiversity.org/,Ground browser,https://animaldiversity.org/,
Myrmecophaga_tridactyla,Myrmecophaga,tridactyla,Pilosa,Myrmecophagidae,1,Diurnal,https://animaldiversity.org/,Resident,https://animaldiversity.org/,28500,https://animaldiversity.org/,Terrestrial,https://animaldiversity.org/,Insectivore,https://animaldiversity.org/,Ground hunter,https://animaldiversity.org/,
Nasua_nasua,Nasua,nasua,Carnivora,Procyonidae,1,Diurnal,https://animaldiversity.org/,Resident,https://animaldiversity.org/,4500,https://animaldiversity.org/,Semi-arboreal,https://animaldiversity.org/,Omnivore,https://animaldiversity.org/,Ground hunter,https://animaldiversity.org/,
Nothocrax_urumutum,Nothocrax,urumutum,Galliformes,Cracidae,0,Diurnal,https://birdsoftheworld.org/,Resident,https://birdsoftheworld.org/,1250,https://birdsoftheworld.org/,Semi-arboreal,https://birdsoftheworld.org/,Omnivore,https://birdsoftheworld.org/,Ground browser,https://birdsoftheworld.org/,
Panthera_onca,Panthera,onca,Carnivora,Felidae,1,Nocturnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",102000,"(Mayani-Paras, et al. 2023)",Terrestrial,"(Mayani-Paras, et al. 2023)",Carnivore,"(Mayani-Paras, et al. 2023)",Ground hunter,"(Mayani-Paras, et al. 2023)",
Penelope_jacquacu,Penelope,jacquacu,Galliformes,Cracidae,0,Diurnal,https://birdsoftheworld.org/,Resident,https://birdsoftheworld.org/,1460,https://birdsoftheworld.org/,Arboreal,https://birdsoftheworld.org/,Frugivore,https://birdsoftheworld.org/,Arboreal browser,https://birdsoftheworld.org/,
Philander_andersoni,Philander,andersoni,Didelphimorphia,Didelphidae,1,Nocturnal,https://animaldiversity.org/,Resident,https://animaldiversity.org/,420,https://animaldiversity.org/,Terrestrial,https://animaldiversity.org/,Omnivore,https://animaldiversity.org/,Ground browser,https://animaldiversity.org/,
Pipile_cumanensis,Pipile,cumanensis,Galliformes,Cracidae,0,Diurnal,https://birdsoftheworld.org/,Resident,https://birdsoftheworld.org/,1160,https://birdsoftheworld.org/,Arboreal,https://birdsoftheworld.org/,Frugivore,https://birdsoftheworld.org/,Arboreal browser,https://birdsoftheworld.org/,
Plecturocebus_discolor,Plecturocebus,discolor,Primates,Pitheciidae,0,Diurnal,https://neprimateconservancy.org/white-tailed-titi/,Resident,https://neprimateconservancy.org/white-tailed-titi/,950,https://neprimateconservancy.org/white-tailed-titi/,Arboreal,https://neprimateconservancy.org/white-tailed-titi/,Frugivore,https://neprimateconservancy.org/white-tailed-titi/,Arboreal browser,https://neprimateconservancy.org/white-tailed-titi/,
Potos_flavus,Potos,flavus,Carnivora,Procyonidae,1,Nocturnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",3000,"(Mayani-Paras, et al. 2023)",Arboreal,"(Mayani-Paras, et al. 2023)",Frugivore,"(Mayani-Paras, et al. 2023)",Arboreal browser,"(Mayani-Paras, et al. 2023)",
Priodontes_maximus,Priodontes,maximus,Cingulata,Dasypodidae,1,Nocturnal,https://animaldiversity.org/,Resident,https://animaldiversity.org/,26800,https://animaldiversity.org/,Terrestrial,https://animaldiversity.org/,Insectivore,https://animaldiversity.org/,Ground hunter,https://animaldiversity.org/,
Procyon_cancrivorus,Procyon,cancrivorus,Carnivora,Procyonidae,1,Nocturnal,https://animaldiversity.org/,Resident,https://animaldiversity.org/,5000,https://animaldiversity.org/,Terrestrial,https://animaldiversity.org/,Omnivore,https://animaldiversity.org/,Ground hunter,https://animaldiversity.org/,
